Tax Year,Credit Type,Place of Residence,Size of Earned Income,Notes,"Number of Claims, Zero Qualifying Children","Credit Amount Claimed, Zero Qualifying Children ($000)","Average Credit, Zero Qualifying Children","Number of Claims, One Qualifying Child","Credit Amount Claimed, One Qualifying Child ($000)","Average Credit, One Qualifying Child","Number of Claims, More than One Qualifying Child *","Credit Amount Claimed, More than One Qualifying Child ($000) *","Average Credit, More than One Qualifying Child *","Number of Claims, Two Qualifying Children **","Credit Amount Claimed, Two Qualifying Children ($000) **","Average Credit, Two Qualifying Children **","Number of Claims, More than Two Qualifying Children **","Credit Amount Claimed, More than Two Qualifying Children ($000) **","Average Credit, More than Two Qualifying Children **","Number of Claims, Total","Credit Amount Claimed, Total ($000)","Average Credit, Total",Place of Residence Sort Order,Earned Income Sort Order
2013,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,58723,668.000,11,11128,442.000,40,,,,3898,175.000,45,1185,57.000,48,74934,1341.000,18,64,1
2013,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,103666,2207.000,21,28001,2961.000,106,,,,9265,1152.000,124,2624,363.000,138,143556,6683.000,47,64,2
2013,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,87726,1544.000,18,69688,10915.000,157,,,,19238,3912.000,203,6073,1399.000,230,182725,17770.000,97,64,3
2013,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,38965,364.000,9,48673,7772.000,160,,,,41512,10839.000,261,14378,4235.000,295,143528,23211.000,162,64,4
2013,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,7067,51.000,7,40489,6222.000,154,,,,29593,7676.000,259,12367,3648.000,295,89516,17598.000,197,64,5
2013,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000","d/, a/",,,1,35409,4617.000,130,,,,,,233,10519,2932.000,279,69038,12941.000,187,64,6
2013,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,0,0.000,0,30473,3078.000,101,,,,19567,3819.000,195,7933,1915.000,241,57973,8812.000,152,64,7
2013,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000","d/, a/",,,1,,,69,,,,17023,2592.000,152,6705,1311.000,195,49901,5703.000,114,64,8
2013,NYC EITC,"Full-Year Resident, Total","$32,001 - $36,000","d/, a/",,,1,,,38,,,,15459,1682.000,109,5968,905.000,152,44841,3465.000,77,64,9
2013,NYC EITC,"Full-Year Resident, Total","$36,001 - $40,000","d/, a/",,,1,,,19,,,,12655,860.000,68,4864,539.000,111,27932,1602.000,57,64,10
2013,NYC EITC,"Full-Year Resident, Total","$40,001 - $44,000","d/, a/",,,1,,,13,,,,7870,294.000,37,3873,275.000,71,14282,602.000,42,64,11
2013,NYC EITC,"Full-Year Resident, Total","$44,001 - $48,000","d/, a/",0,0.000,0,,,1,,,,,,24,2645,113.000,43,5478,181.000,33,64,12
2013,NYC EITC,"Full-Year Resident, Total","$48,001 AND OVER","d/, a/",,,1,,,1,,,,189,0.000,2,1263,24.000,19,1454,24.000,17,64,13
2013,NYC EITC,"Full-Year Resident, Total",TOTAL,,296160,4834.261,16,326392,38921.368,119,,,,202209,38460.221,190,80397,17716.523,220,905158,99932.373,110,64,14
2012,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,56090,663.000,12,12673,490.000,39,,,,4626,206.000,44,1363,67.000,49,74752,1426.000,19,64,1
2012,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,100339,2129.000,21,30028,3159.000,105,,,,10437,1294.000,124,2983,419.000,141,143787,7001.000,49,64,2
2012,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,83035,1369.000,16,67902,10350.000,152,,,,22002,4452.000,202,6792,1560.000,230,179731,17731.000,99,64,3
2012,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,32005,294.000,9,48182,7430.000,154,,,,41033,10473.000,255,14199,4090.000,288,135419,22286.000,165,64,4
2012,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,5594,36.000,6,39487,5808.000,147,,,,29975,7478.000,249,12323,3516.000,285,87379,16838.000,193,64,5
2012,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000","d/, a/",,,1,,,123,,,,22833,5058.000,222,10470,2807.000,268,67705,12088.000,179,64,6
2012,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,0,0.000,0,29756,2752.000,92,,,,19426,3514.000,181,7685,1737.000,226,56867,8002.000,141,64,7
2012,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",,0,0.000,0,25721,1572.000,61,,,,17215,2394.000,139,6700,1207.000,180,49636,5174.000,104,64,8
2012,NYC EITC,"Full-Year Resident, Total","$32,001 - $36,000",,0,0.000,0,22368,674.000,30,,,,15771,1517.000,96,5946,816.000,137,44085,3007.000,68,64,9
2012,NYC EITC,"Full-Year Resident, Total","$36,001 - $40,000","d/, a/",,,1,6632,126.000,19,,,,,,57,4898,479.000,98,24013,1317.000,55,64,10
2012,NYC EITC,"Full-Year Resident, Total","$40,001 - $44,000","d/, a/",,,1,1565,13.000,8,,,,,,33,,,58,11547,438.000,38,64,11
2012,NYC EITC,"Full-Year Resident, Total","$44,001 - $48,000","d/, a/",0,0.000,0,,,1,,,,2170,36.000,16,2056,75.000,37,4227,111.000,26,64,12
2012,NYC EITC,"Full-Year Resident, Total","$48,001 AND OVER","d/, a/",,,1,0,0.000,0,,,,0,0.000,0,,,12,745,9.000,12,64,13
2012,NYC EITC,"Full-Year Resident, Total",TOTAL,,277076,4489.913,16,318716,36596.210,115,,,,204090,37334.540,183,80011,17005.660,213,879893,95426.320,108,64,14
2011,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,55142,549.000,10,12590,498.000,40,,,,4380,199.000,45,1229,63.000,51,73341,1308.000,18,64,1
2011,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,101576,2098.000,21,32825,3485.000,106,,,,11280,1409.000,125,3142,443.000,141,148823,7435.000,50,64,2
2011,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,78569,1204.000,15,74415,11204.000,151,,,,24742,5021.000,203,7544,1731.000,230,185270,19161.000,103,64,3
